di_bin,n_comments,k_corrective,di_min,di_max,di_med,p_corrective,ci_low,ci_high
DI=0,4366,544,0,0,0.0,0.12459917544663307,0.11513151446911948,0.1347268543320575
DI>0,1346,186,1,6,1.0,0.13818722139673106,0.12077839993062317,0.15765537935857776
