di_bin,n_comments,k_corrective,di_min,di_max,di_med,p_corrective,ci_low,ci_high
DI=0,3896,464,0,0,0.0,0.11909650924024641,0.10929906513154243,0.12964435568702629
Q1,1408,188,1,2,1.0,0.13352272727272727,0.11674951480922569,0.15229022506211526
Q2,408,78,3,8,3.0,0.19117647058823528,0.15597037135899874,0.2321436841768361
