window,n,mean,mean_ci_lo,mean_ci_hi,median,median_ci_lo,median_ci_hi
time_window,32,-0.18163216991341988,-0.3583444094967532,0.01263984713203461,-0.225,-0.3333333333333333,-0.10416666666666666
n_window,32,-0.203125,-0.38749999999999996,0.003124999999999962,-0.30000000000000004,-0.4,0.0
